label_idx,OT_true,exog_temp,emb_cluster
33412,19.29,-10.74,0
39940,694.36,-12.51,0
39941,597.96,-12.49,0
39942,611.22,-12.42,0
39943,517.54,-12.44,0
39944,430.7,-12.38,0
39945,412.03,-12.38,0
39946,321.37,-12.43,0
39947,191.28,-12.3,0
39939,529.78,-12.54,0
39948,177.16,-12.16,0
39950,390.01,-12.19,0
39951,1111.52,-12.45,0
39952,683.3,-12.42,0
39953,1003.9,-12.51,0
39954,895.71,-12.51,0
39955,609.34,-12.5,0
39956,356.66,-12.48,0
39957,529.2,-12.53,0
39949,225.93,-12.06,0
39958,536.74,-12.56,0
39938,1009.19,-12.55,0
39933,1636.63,-12.51,0
39914,951.97,-12.04,0
39915,1363.07,-12.1,0
39916,1124.76,-12.11,0
39921,949.59,-12.09,0
39922,1210.36,-12.11,0
39923,1414.96,-12.17,0
39924,1082.13,-12.17,0
39927,501.28,-11.77,0
39937,849.61,-12.57,0
39928,721.58,-12.07,0
37304,1065.99,-9.28,0
37303,1188.74,-9.3,0
37302,1079.82,-9.41,0
37301,1020.4,-9.28,0
39929,677.74,-12.16,0
39930,992.62,-12.27,0
39931,1044.76,-12.37,0
39932,1424.35,-12.45,0
37305,1326.29,-9.28,0
39959,723.27,-12.62,0
39960,1141.62,-12.71,0
39961,878.3,-12.71,0
40019,539.69,-13.14,0
40020,530.49,-13.1,0
40021,612.31,-13.12,0
40022,550.15,-13.19,0
40023,477.68,-13.21,0
40024,487.9,-13.3,0
40025,331.03,-13.4,0
40026,236.39,-13.41,0
40018,627.07,-13.15,0
40027,246.12,-13.49,0
40029,259.71,-13.52,0
40030,361.45,-13.63,0
40031,614.35,-13.69,0
40032,904.45,-13.73,0
40033,557.29,-13.78,0
40034,736.7,-13.81,0
40035,769.78,-13.81,0
40036,902.24,-13.82,0
40028,242.44,-13.51,0
40017,641.72,-13.19,0
40016,584.13,-13.24,0
40015,486.34,-13.31,0
39962,1161.88,-12.8,0
39963,1090.97,-12.81,0
39964,1325.72,-12.83,0
39994,1528.55,-12.87,0
39995,1309.16,-12.95,0
40001,923.65,-13.31,0
40002,1263.52,-13.39,0
40003,916.65,-13.35,0
40005,1050.6,-13.42,0
40006,654.18,-13.44,0
40007,657.88,-13.47,0
40008,560.74,-13.51,0
40009,673.13,-13.51,0
40010,617.13,-13.54,0
40011,527.5,-13.55,0
40012,473.78,-13.45,0
37216,1308.15,-8.75,0
40013,584.81,-13.41,0
40014,535.47,-13.32,0
39913,1118.22,-12.11,0
39912,910.49,-12.02,0
39911,911.35,-12.01,0
39910,882.32,-11.88,0
39845,508.72,-10.85,0
39846,682.87,-10.96,0
39847,599.38,-10.91,0
39848,358.53,-10.84,0
39849,835.73,-11.18,0
39850,657.71,-11.28,0
39851,791.52,-11.32,0
39852,843.92,-11.4,0
39844,390.18,-10.9,0
39853,540.42,-11.29,0
39855,370.37,-10.76,0
39856,321.03,-10.74,0
39857,607.74,-10.79,0
39858,734.2,-10.96,0
39859,762.14,-11.0,0
39860,741.03,-11.11,0
39861,644.17,-11.18,0
39862,501.89,-11.3,0
39854,346.75,-10.98,0
39843,430.24,-11.13,0
39842,702.1,-11.24,0
39841,1025.12,-11.22,0
39817,1254.19,-11.33,0
39822,1306.26,-10.9,0
39823,1330.16,-10.87,0
39824,847.11,-10.9,0
39825,1087.84,-10.93,0
39828,1236.03,-11.27,0
39832,588.4,-10.96,0
39833,625.56,-10.96,0
39834,582.65,-11.0,0
39835,580.2,-10.93,0
37402,1192.33,-8.82,0
37401,1146.29,-8.94,0
37400,1028.25,-8.91,0
37399,1077.88,-8.87,0
39836,435.82,-10.93,0
39837,258.71,-10.7,0
39838,451.64,-10.63,0
39839,849.33,-10.96,0
39840,986.31,-11.24,0
39863,635.57,-11.37,0
40037,1145.39,-13.91,0
39864,671.43,-11.48,0
39866,391.6,-11.31,0
39890,303.38,-11.38,0
39891,393.4,-11.34,0
39892,364.77,-11.29,0
39893,274.15,-11.35,0
39894,211.35,-11.34,0
39895,359.53,-11.36,0
39896,553.31,-11.46,0
39897,864.55,-11.55,0
39889,571.09,-11.49,0
39898,1137.14,-11.65,0
39900,1134.15,-11.86,0
39901,1041.46,-11.88,0
39904,581.27,-11.63,0
